,index,timestamp,data.id,data.rank,data.symbol,data.name,data.supply,data.maxSupply,data.marketCapUsd,data.volumeUsd24Hr,data.priceUsd,data.changePercent24Hr,data.vwap24Hr,data.explorer
0,0,2023-02-10 09:38:58.552,bitcoin,1,BTC,Bitcoin,19286606.0000000000000000,21000000.0000000000000000,422439154880.2283549533549464,13870043595.7855098370533765,21903.2397343642709844,-3.5779530619895287,22378.6067310789662342,https://blockchain.info/
1,1,2023-02-10 09:38:58.552,ethereum,2,ETH,Ethereum,122373866.2178000000000000,,189967855573.2651421572093738,4570602736.4629142093693242,1552.3564094572440506,-4.9792744129129880,1582.9114994919761829,https://etherscan.io/
2,2,2023-02-10 09:38:58.552,tether,3,USDT,Tether,68184382217.7184400000000000,,68280322771.9792780574467576,21806624955.7955629161483166,1.0014070752148856,0.0768489176108563,1.0004490327747260,https://www.omniexplorer.info/asset/31
3,3,2023-02-10 09:38:58.552,binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,51544189147.8727172834577540,279379988.9524515173886193,309.0157937514477855,-4.0896043812338342,312.3506145041889327,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
4,4,2023-02-10 09:38:58.552,usd-coin,5,USDC,USD Coin,41570220469.5601900000000000,,41587471460.4249998036652611,1080842544.6103677248298729,1.0004149843486503,-0.0542478633113771,1.0004381555996965,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
5,5,2023-02-10 09:38:58.552,xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,17549203635.4747268753920800,563004228.0297005878910168,0.3865120378330095,-1.8093969438877851,0.3919888477810716,https://xrpcharts.ripple.com/#/graph/
6,6,2023-02-10 09:38:58.552,binance-usd,7,BUSD,Binance USD,16161589369.5533750000000000,,16180155087.9667710406735508,1548693863.8227971591059293,1.0011487557311889,0.0826291566911707,1.0007779337067428,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
7,7,2023-02-10 09:38:58.552,cardano,8,ADA,Cardano,34622199141.8970000000000000,45000000000.0000000000000000,12625540354.6950115290707810,182735113.6447902905740520,0.3646660428169220,-5.9200710093514235,0.3704626500378494,https://cardanoexplorer.com/
8,8,2023-02-10 09:38:58.552,polygon,9,MATIC,Polygon,8734317475.2849300000000000,10000000000.0000000000000000,11321997539.1402704841645265,567299307.4264596644251503,1.2962658583429755,-1.7859122521000780,1.2804820919217885,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
9,9,2023-02-10 09:38:58.552,dogecoin,10,DOGE,Dogecoin,132670764299.8940900000000000,,10927823872.6385106121682188,301061880.1186016317788873,0.0823679876294135,-6.6243433916215131,0.0838956308861613,http://dogechain.info/chain/Dogecoin
10,10,2023-02-10 09:38:58.552,solana,11,SOL,Solana,374975236.5589377000000000,,7904820305.9199009431633093,210553448.7645630660497748,21.0809129116382074,-7.6216927175467014,21.4199058161603937,https://explorer.solana.com/
11,11,2023-02-10 09:38:58.552,polkadot,12,DOT,Polkadot,1200695979.7608800000000000,,7559106803.3787087682395518,149876308.7388231446610677,6.2956043251549103,-8.1226226094194463,6.5829712584463665,https://polkascan.io/polkadot
12,12,2023-02-10 09:38:58.552,shiba-inu,13,SHIB,Shiba Inu,549063278876301.9400000000000000,,6813097864.1420222478891457,216948833.1461880274062865,0.0000124085840854,-7.1748201487333910,0.0000126068254234,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
13,13,2023-02-10 09:38:58.552,litecoin,14,LTC,Litecoin,72247153.0391317200000000,84000000.0000000000000000,6700177543.5071589268446700,267130595.8333846998571633,92.7396757056723869,-3.9368096242706983,93.5705104126422317,http://explorer.litecoin.net/chain/Litecoin
14,14,2023-02-10 09:38:58.552,terra-luna,15,LUNA,Terra,3453685944.3708580000000000,,6227376337.8222246556443649,13778944.0966949380219478,1.8031101953471444,-9.2255605643271049,1.8593353227110337,https://finder.terra.money/
15,15,2023-02-10 09:38:58.552,tron,16,TRX,TRON,91694622261.0396600000000000,,5832721318.2800909994196072,437282381.8490623531164830,0.0636102878713572,-2.2612881897897015,0.0641985886135381,https://tronscan.org/#/
16,16,2023-02-10 09:38:58.552,avalanche,17,AVAX,Avalanche,315120803.8160031400000000,720000000.0000000000000000,5736535878.6551033869513685,120054753.5719621360174007,18.2042436081263205,-7.9327064924013940,18.6602028755480987,https://avascan.info/
17,17,2023-02-10 09:38:58.552,multi-collateral-dai,18,DAI,Multi Collateral DAI,5204064163.6961810000000000,,5207891156.7921947265205690,65003314.1851580676036314,1.0007353854556043,0.0386258241810826,0.9998628070636235,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
18,18,2023-02-10 09:38:58.552,uniswap,19,UNI,Uniswap,762209326.5354977000000000,1000000000.0000000000000000,4912189649.3690697929789680,87364967.1059082885538553,6.4446727143797272,-3.2638876808172087,6.5057896993306045,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
19,19,2023-02-10 09:38:58.552,wrapped-bitcoin,20,WBTC,Wrapped Bitcoin,176471.9613569400000000,,3864524937.0890395697518861,146373529.8718138316589082,21898.8042484124737602,-3.5571320241925580,22226.7179981315158401,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
20,20,2023-02-10 09:38:58.552,chainlink,21,LINK,Chainlink,507999970.4527867000000000,1000000000.0000000000000000,3553694636.8620147937954757,318019886.5844870517753589,6.9954622904693528,-7.9531083926355738,7.3641027500630309,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
21,21,2023-02-10 09:38:58.552,cosmos,22,ATOM,Cosmos,248453201.0000000000000000,,3471015691.6567057239837368,127241801.1947247041980540,13.9705009944979768,-5.4348808676276422,14.0499570484897332,https://www.mintscan.io/
22,22,2023-02-10 09:38:58.552,unus-sed-leo,23,LEO,UNUS SED LEO,953954130.0000000000000000,,3197701636.5021573195076710,253652.5855023404687072,3.3520496803155067,-0.1013878085515496,3.3748546630951002,https://eospark.com/account/bitfinexleo1
23,23,2023-02-10 09:38:58.552,ethereum-classic,24,ETC,Ethereum Classic,139208627.0013527000000000,210700000.0000000000000000,2951736624.8617013234823391,81362840.7976671809619485,21.2036903778457573,-4.7422617075420446,21.5687891196763491,http://gastracker.io/
24,24,2023-02-10 09:38:58.552,monero,25,XMR,Monero,18238415.7274769300000000,,2869355627.2415360460916888,52334598.6774514527070395,157.3248285441115779,-3.5615277526476994,159.0245877960837816,http://moneroblocks.info/
25,25,2023-02-10 09:38:58.552,bitcoin-cash,26,BCH,Bitcoin Cash,19307868.7500000000000000,21000000.0000000000000000,2482163797.1772825300500719,91415486.5954406911622587,128.5571095037240985,-1.5342072012471887,128.4159793400118178,https://blockchair.com/bitcoin-cash/blocks
26,26,2023-02-10 09:38:58.552,okb,27,OKB,OKB,60000000.0000000000000000,,2426183512.2171505020000000,1777944.1830230146441832,40.4363918702858417,-6.2197439282142024,40.8206476907490699,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
